Episode   950 | Won: False | Reward: -521.0 | Epsilon: 0.8733
Episode   960 | Won: False | Reward: -511.0 | Epsilon: 0.8720
Episode   970 | Won: False | Reward: -512.0 | Epsilon: 0.8707
Episode   980 | Won: False | Reward: -513.0 | Epsilon: 0.8693
Episode   990 | Won: False | Reward: -508.0 | Epsilon: 0.8680
Episode  1000 | Won: False | Reward: -506.0 | Epsilon: 0.8667
Episode  1010 | Won: False | Reward: -509.0 | Epsilon: 0.8653
Episode  1020 | Won: False | Reward: -507.0 | Epsilon: 0.8640
Episode  1030 | Won: False | Reward: -515.0 | Epsilon: 0.8627
Episode  1040 | Won: False | Reward: -507.0 | Epsilon: 0.8613
Episode  1050 | Won: False | Reward: -507.0 | Epsilon: 0.8600
Episode  1060 | Won: False | Reward: -512.0 | Epsilon: 0.8587
Episode  1070 | Won: False | Reward: -514.0 | Epsilon: 0.8573
Episode  1080 | Won: False | Reward: -509.0 | Epsilon: 0.8560
Episode  1090 | Won: False | Reward: -510.0 | Epsilon: 0.8547
Episode  1100 | Won: False | Reward: -507.0 | Epsilon: 0.8533
Episode  1110 | Won: False | Reward: -519.0 | Epsilon: 0.8520
Episode  1120 | Won: False | Reward: -517.0 | Epsilon: 0.8507
Episode  1130 | Won: False | Reward: -509.0 | Epsilon: 0.8493
Episode  1140 | Won: False | Reward: -508.0 | Epsilon: 0.8480
Episode  1150 | Won: False | Reward: -524.0 | Epsilon: 0.8467
Episode  1160 | Won: False | Reward: -508.0 | Epsilon: 0.8453
Episode  1170 | Won: False | Reward: -509.0 | Epsilon: 0.8440
Episode  1180 | Won: False | Reward: -513.0 | Epsilon: 0.8427
Episode  1190 | Won: False | Reward: -513.0 | Epsilon: 0.8413
Episode  1200 | Won: False | Reward: -506.0 | Epsilon: 0.8400
Episode  1210 | Won: False | Reward: -508.0 | Epsilon: 0.8387
Episode  1220 | Won: False | Reward: -507.0 | Epsilon: 0.8373
Episode  1230 | Won: False | Reward: -553.0 | Epsilon: 0.8360
Episode  1240 | Won: False | Reward: -505.0 | Epsilon: 0.8347
Episode  1250 | Won: False | Reward: -509.0 | Epsilon: 0.8333
Episode  1260 | Won: False | Reward: -509.0 | Epsilon: 0.8320
Episode  1270 | Won: False | Reward: -513.0 | Epsilon: 0.8307
Episode  1280 | Won: False | Reward: -521.0 | Epsilon: 0.8293
Episode  1290 | Won: False | Reward: -511.0 | Epsilon: 0.8280
Episode  1300 | Won: False | Reward: -509.0 | Epsilon: 0.8267
Episode  1310 | Won: False | Reward: -510.0 | Epsilon: 0.8253
Episode  1320 | Won: False | Reward: -509.0 | Epsilon: 0.8240
Episode  1330 | Won: False | Reward: -511.0 | Epsilon: 0.8227
Episode  1340 | Won: False | Reward: -505.0 | Epsilon: 0.8213
Episode  1350 | Won: False | Reward: -513.0 | Epsilon: 0.8200
Episode  1360 | Won: False | Reward: -508.0 | Epsilon: 0.8187
Episode  1370 | Won: False | Reward: -525.0 | Epsilon: 0.8173
Episode  1380 | Won: False | Reward: -508.0 | Epsilon: 0.8160
Episode  1390 | Won: False | Reward: -516.0 | Epsilon: 0.8147
Episode  1400 | Won: False | Reward: -517.0 | Epsilon: 0.8133
Episode  1410 | Won: False | Reward: -510.0 | Epsilon: 0.8120
Episode  1420 | Won: False | Reward: -505.0 | Epsilon: 0.8107
Episode  1430 | Won: False | Reward: -510.0 | Epsilon: 0.8093
Episode  1440 | Won: False | Reward: -555.0 | Epsilon: 0.8080
Episode  1450 | Won: False | Reward: -510.0 | Epsilon: 0.8067
Episode  1460 | Won: False | Reward: -510.0 | Epsilon: 0.8053
Episode  1470 | Won: False | Reward: -510.0 | Epsilon: 0.8040
Episode  1480 | Won: False | Reward: -511.0 | Epsilon: 0.8027
Episode  1490 | Won: False | Reward: -509.0 | Epsilon: 0.8013
Episode  1500 | Won: False | Reward: -511.0 | Epsilon: 0.8000
Episode  1510 | Won: False | Reward: -506.0 | Epsilon: 0.7987
Episode  1520 | Won: False | Reward: -509.0 | Epsilon: 0.7973
Episode  1530 | Won: False | Reward: -516.0 | Epsilon: 0.7960
Episode  1540 | Won: False | Reward: -519.0 | Epsilon: 0.7947
Episode  1550 | Won: False | Reward: -508.0 | Epsilon: 0.7933
Episode  1560 | Won: False | Reward: -506.0 | Epsilon: 0.7920
