Episode    10 | Won: False | Reward: -508.0 | Epsilon: 0.9987
Episode  1220 | Won: False | Reward: -515.0 | Epsilon: 0.8373
Episode  1230 | Won: False | Reward: -511.0 | Epsilon: 0.8360
Episode  1240 | Won: False | Reward: -507.0 | Epsilon: 0.8347
Episode  1250 | Won: False | Reward: -507.0 | Epsilon: 0.8333
Episode  1260 | Won: False | Reward: -511.0 | Epsilon: 0.8320
Episode  1270 | Won: False | Reward: -508.0 | Epsilon: 0.8307
Episode  1280 | Won: False | Reward: -517.0 | Epsilon: 0.8293
Episode  1290 | Won: False | Reward: -515.0 | Epsilon: 0.8280
Episode  1300 | Won: False | Reward: -513.0 | Epsilon: 0.8267
Episode  1310 | Won: False | Reward: -512.0 | Epsilon: 0.8253
Episode  1320 | Won: False | Reward: -517.0 | Epsilon: 0.8240
Episode  1330 | Won: False | Reward: -519.0 | Epsilon: 0.8227
Episode  1340 | Won: False | Reward: -512.0 | Epsilon: 0.8213
Episode  1350 | Won: False | Reward: -503.0 | Epsilon: 0.8200
Episode  1360 | Won: False | Reward: -518.0 | Epsilon: 0.8187
Episode  1370 | Won: False | Reward: -505.0 | Epsilon: 0.8173
Episode  1380 | Won: False | Reward: -512.0 | Epsilon: 0.8160
Episode  1390 | Won: False | Reward: -508.0 | Epsilon: 0.8147
Episode  1400 | Won: False | Reward: -516.0 | Epsilon: 0.8133
Episode  1410 | Won: False | Reward: -511.0 | Epsilon: 0.8120
Episode  1420 | Won: False | Reward: -508.0 | Epsilon: 0.8107
Episode  1430 | Won: False | Reward: -521.0 | Epsilon: 0.8093
Episode  1440 | Won: False | Reward: -507.0 | Epsilon: 0.8080
Episode  1450 | Won: False | Reward: -504.0 | Epsilon: 0.8067
Episode  1460 | Won: False | Reward: -525.0 | Epsilon: 0.8053
Episode  1470 | Won: False | Reward: -508.0 | Epsilon: 0.8040
Episode  1480 | Won: False | Reward: -510.0 | Epsilon: 0.8027
Episode  1490 | Won: False | Reward: -508.0 | Epsilon: 0.8013
Episode  1500 | Won: False | Reward: -506.0 | Epsilon: 0.8000
Episode  1510 | Won: False | Reward: -523.0 | Epsilon: 0.7987
Episode  1520 | Won: False | Reward: -511.0 | Epsilon: 0.7973
Episode  1530 | Won: False | Reward: -514.0 | Epsilon: 0.7960
Episode  1540 | Won: False | Reward: -517.0 | Epsilon: 0.7947
Episode  1550 | Won: False | Reward: -509.0 | Epsilon: 0.7933
Episode  1560 | Won: False | Reward: -509.0 | Epsilon: 0.7920
Episode  1570 | Won: False | Reward: -513.0 | Epsilon: 0.7907
Episode  1580 | Won: False | Reward: -506.0 | Epsilon: 0.7893
Episode  1590 | Won: False | Reward: -512.0 | Epsilon: 0.7880
Episode  1600 | Won: False | Reward: -507.0 | Epsilon: 0.7867
Episode  1610 | Won: False | Reward: -508.0 | Epsilon: 0.7853
Episode  1620 | Won: False | Reward: -507.0 | Epsilon: 0.7840
Episode  1630 | Won: False | Reward: -517.0 | Epsilon: 0.7827
Episode  1640 | Won: False | Reward: -521.0 | Epsilon: 0.7813
Episode  1650 | Won: False | Reward: -510.0 | Epsilon: 0.7800
Episode  1660 | Won: False | Reward: -509.0 | Epsilon: 0.7787
Episode  1670 | Won: False | Reward: -507.0 | Epsilon: 0.7773
Episode  1680 | Won: False | Reward: -506.0 | Epsilon: 0.7760
Episode  1690 | Won: False | Reward: -511.0 | Epsilon: 0.7747
Episode  1700 | Won: False | Reward: -504.0 | Epsilon: 0.7733
Episode  1710 | Won: False | Reward: -509.0 | Epsilon: 0.7720
Episode  1720 | Won: False | Reward: -516.0 | Epsilon: 0.7707
Episode  1730 | Won: False | Reward: -509.0 | Epsilon: 0.7693
Episode  1740 | Won: False | Reward: -506.0 | Epsilon: 0.7680
Episode  1750 | Won: False | Reward: -507.0 | Epsilon: 0.7667
Episode  1760 | Won: False | Reward: -512.0 | Epsilon: 0.7653
Episode  1770 | Won: False | Reward: -506.0 | Epsilon: 0.7640
Episode  1780 | Won: False | Reward: -506.0 | Epsilon: 0.7627
Episode  1790 | Won: False | Reward: -507.0 | Epsilon: 0.7613
Episode  1800 | Won: False | Reward: -510.0 | Epsilon: 0.7600
Episode  1810 | Won: False | Reward: -509.0 | Epsilon: 0.7587
Episode  1820 | Won: False | Reward: -515.0 | Epsilon: 0.7573
Episode  1830 | Won: False | Reward: -508.0 | Epsilon: 0.7560
Episode  1840 | Won: False | Reward: -503.0 | Epsilon: 0.7547
Episode  1850 | Won: False | Reward: -509.0 | Epsilon: 0.7533
Episode  1860 | Won: False | Reward: -504.0 | Epsilon: 0.7520
Episode  1870 | Won: False | Reward: -509.0 | Epsilon: 0.7507
Episode  1880 | Won: False | Reward: -504.0 | Epsilon: 0.7493
Episode  1890 | Won: False | Reward: -507.0 | Epsilon: 0.7480
Episode  1900 | Won: False | Reward: -504.0 | Epsilon: 0.7467
Episode  1910 | Won: False | Reward: -508.0 | Epsilon: 0.7453
Episode  1920 | Won: False | Reward: -508.0 | Epsilon: 0.7440
Episode  1930 | Won: False | Reward: -513.0 | Epsilon: 0.7427
Episode  1940 | Won: False | Reward: -513.0 | Epsilon: 0.7413
Episode  1950 | Won: False | Reward: -507.0 | Epsilon: 0.7400
Episode  1960 | Won: False | Reward: -507.0 | Epsilon: 0.7387
Episode  1970 | Won: False | Reward: -506.0 | Epsilon: 0.7373
Episode  1980 | Won: False | Reward: -509.0 | Epsilon: 0.7360
Episode  1990 | Won: False | Reward: -520.0 | Epsilon: 0.7347
Episode  2000 | Won: False | Reward: -505.0 | Epsilon: 0.7333
Episode  2010 | Won: False | Reward: -526.0 | Epsilon: 0.7320
Episode  2020 | Won: False | Reward: -525.0 | Epsilon: 0.7307
Episode  2030 | Won: False | Reward: -518.0 | Epsilon: 0.7293
Episode  2040 | Won: False | Reward: -506.0 | Epsilon: 0.7280
Episode  2050 | Won: False | Reward: -509.0 | Epsilon: 0.7267
Episode  2060 | Won: False | Reward: -504.0 | Epsilon: 0.7253
Episode  2070 | Won: False | Reward: -525.0 | Epsilon: 0.7240
Episode  2080 | Won: False | Reward: -510.0 | Epsilon: 0.7227
Episode  2090 | Won: False | Reward: -503.0 | Epsilon: 0.7213
Episode  2100 | Won: False | Reward: -510.0 | Epsilon: 0.7200
Episode  2110 | Won: False | Reward: -508.0 | Epsilon: 0.7187
Episode  2120 | Won: False | Reward: -508.0 | Epsilon: 0.7173
Episode  2130 | Won: False | Reward: -509.0 | Epsilon: 0.7160
Episode  2140 | Won: False | Reward: -506.0 | Epsilon: 0.7147
Episode  2150 | Won: False | Reward: -510.0 | Epsilon: 0.7133
Episode  2160 | Won: False | Reward: -511.0 | Epsilon: 0.7120
Episode  2170 | Won: False | Reward: -520.0 | Epsilon: 0.7107
Episode  2180 | Won: False | Reward: -511.0 | Epsilon: 0.7093
Episode  2190 | Won: False | Reward: -525.0 | Epsilon: 0.7080
Episode  2200 | Won: False | Reward: -510.0 | Epsilon: 0.7067
Episode  2210 | Won: False | Reward: -513.0 | Epsilon: 0.7053
Episode  2220 | Won: False | Reward: -507.0 | Epsilon: 0.7040
Episode  2230 | Won: False | Reward: -506.0 | Epsilon: 0.7027
Episode  2240 | Won: False | Reward: -524.0 | Epsilon: 0.7013
Episode  2250 | Won: False | Reward: -511.0 | Epsilon: 0.7000
Episode  2260 | Won: False | Reward: -508.0 | Epsilon: 0.6987
Episode  2270 | Won: False | Reward: -511.0 | Epsilon: 0.6973
Episode  2280 | Won: False | Reward: -509.0 | Epsilon: 0.6960
Episode  2290 | Won: False | Reward: -507.0 | Epsilon: 0.6947
Episode  2300 | Won: False | Reward: -504.0 | Epsilon: 0.6933
Episode  2310 | Won: False | Reward: -507.0 | Epsilon: 0.6920
Episode  2320 | Won: False | Reward: -507.0 | Epsilon: 0.6907
Episode  2330 | Won: False | Reward: -510.0 | Epsilon: 0.6893
Episode  2340 | Won: False | Reward: -518.0 | Epsilon: 0.6880
Episode  2350 | Won: False | Reward: -512.0 | Epsilon: 0.6867
Episode  2360 | Won: False | Reward: -513.0 | Epsilon: 0.6853
Episode  2370 | Won: False | Reward: -521.0 | Epsilon: 0.6840
Episode  2380 | Won: False | Reward: -503.0 | Epsilon: 0.6827
Episode  2390 | Won: False | Reward: -512.0 | Epsilon: 0.6813
Episode  2400 | Won: False | Reward: -511.0 | Epsilon: 0.6800
Episode  2410 | Won: False | Reward: -514.0 | Epsilon: 0.6787
Episode  2420 | Won: False | Reward: -511.0 | Epsilon: 0.6773
Episode  2430 | Won: False | Reward: -511.0 | Epsilon: 0.6760
Episode  2440 | Won: False | Reward: -510.0 | Epsilon: 0.6747
Episode  2450 | Won: False | Reward: -512.0 | Epsilon: 0.6733
Episode  2460 | Won: False | Reward: -511.0 | Epsilon: 0.6720
Episode  2470 | Won: False | Reward: -506.0 | Epsilon: 0.6707
Episode  2480 | Won: False | Reward: -504.0 | Epsilon: 0.6693
Episode  2490 | Won: False | Reward: -509.0 | Epsilon: 0.6680
Episode  2500 | Won: False | Reward: -504.0 | Epsilon: 0.6667
Episode  2510 | Won: False | Reward: -532.0 | Epsilon: 0.6653
Episode  2520 | Won: False | Reward: -508.0 | Epsilon: 0.6640
Episode  2530 | Won: False | Reward: -510.0 | Epsilon: 0.6627
Episode  2540 | Won: False | Reward: -503.0 | Epsilon: 0.6613
Episode  2550 | Won: False | Reward: -513.0 | Epsilon: 0.6600
Episode  2560 | Won: False | Reward: -510.0 | Epsilon: 0.6587
Episode  2570 | Won: False | Reward: -511.0 | Epsilon: 0.6573
Episode  2580 | Won: False | Reward: -510.0 | Epsilon: 0.6560
Episode  2590 | Won:  True | Reward:  499.0 | Epsilon: 0.6547
Episode  2600 | Won: False | Reward: -508.0 | Epsilon: 0.6533
Episode  2610 | Won: False | Reward: -508.0 | Epsilon: 0.6520
Episode  2620 | Won: False | Reward: -513.0 | Epsilon: 0.6507
